S 1111
W 15165 1
R 15165 1
W 8533 30
R 8533 30
W 34111 28
R 34111 28
W 43124 11
R 43124 11
W 52595 9
R 52595 9
W 20469 3
R 20469 3
W 2105 11
R 2105 11
W 39280 14
R 39280 14
W 51726 29
R 51726 29
W 7629 4
R 7629 4
W 44480 26
R 44480 26
W 4527 31
R 4527 31
W 18728 5
R 18728 5
W 20957 31
R 20957 31
W 46120 5
R 46120 5
W 4440 15
R 4440 15
W 41302 25
R 41302 25
W 48486 28
R 48486 28
W 37026 4
R 37026 4
W 7903 7
R 7903 7
W 32713 2
R 32713 2
W 37574 21
R 37574 21
W 38800 26
R 38800 26
W 48878 17
R 48878 17
W 13452 8
R 13452 8
W 54745 30
R 54745 30
W 34898 12
R 34898 12
W 1608 30
R 1608 30
W 4481 15
R 4481 15
W 6541 18
R 6541 18
W 194 27
R 194 27
W 46350 22
R 46350 22
W 15762 10
R 15762 10
W 43183 4
R 43183 4
W 55376 24
R 55376 24
W 3146 22
R 3146 22
W 13922 17
R 13922 17
W 40988 30
R 40988 30
W 43847 10
R 43847 10
W 12176 30
R 12176 30
W 31686 3
R 31686 3
W 41503 18
R 41503 18
W 11505 24
R 11505 24
W 38290 25
R 38290 25
W 49293 7
R 49293 7
W 50204 24
R 50204 24
W 39428 8
R 39428 8
W 25449 15
R 25449 15
W 2975 31
R 2975 31
W 34251 25
R 34251 25
W 54182 24
R 54182 24
W 7177 12
R 7177 12
W 4391 23
R 4391 23
W 55290 15
R 55290 15
W 15151 24
R 15151 24
W 40002 14
R 40002 14
W 19699 10
R 19699 10
W 31501 6
R 31501 6
W 1737 9
R 1737 9
W 30806 3
R 30806 3
W 40894 6
R 40894 6
W 34983 12
R 34983 12
W 54685 6
R 54685 6
W 4441 26
R 4441 26
W 6184 11
R 6184 11
W 42284 25
R 42284 25
W 2362 31
R 2362 31
W 5590 9
R 5590 9
W 32090 12
R 32090 12
W 46800 18
R 46800 18
W 5466 4
R 5466 4
W 12159 25
R 12159 25
W 45427 27
R 45427 27
W 39985 9
R 39985 9
W 47916 26
R 47916 26
W 24468 17
R 24468 17
W 20730 5
R 20730 5
W 29869 12
R 29869 12
W 46155 20
R 46155 20
W 51155 12
R 51155 12
W 48426 23
R 48426 23
W 47169 29
R 47169 29
W 20020 3
R 20020 3
W 49350 10
R 49350 10
W 48103 27
R 48103 27
W 17432 13
R 17432 13
W 2728 24
R 2728 24
W 5006 8
R 5006 8
W 7715 2
R 7715 2
W 29785 19
R 29785 19
W 42054 26
R 42054 26
W 13370 25
R 13370 25
W 48168 29
R 48168 29
W 56279 4
R 56279 4
W 3821 7
R 3821 7
W 23782 13
R 23782 13
W 20650 13
R 20650 13
W 37500 16
R 37500 16
W 49982 14
R 49982 14
W 10861 26
R 10861 26
W 51929 17
R 51929 17
W 20582 4
R 20582 4
W 49692 10
R 49692 10
W 37278 24
R 37278 24
W 54195 24
R 54195 24
W 47503 4
R 47503 4
W 55780 13
R 55780 13
W 19770 10
R 19770 10
W 30384 29
R 30384 29
W 9855 24
R 9855 24
W 11452 23
R 11452 23
W 12725 31
R 12725 31
W 30860 13
R 30860 13
W 7238 16
R 7238 16
W 6004 6
R 6004 6
W 47855 29
R 47855 29
W 38201 12
R 38201 12
W 38864 27
R 38864 27
W 20297 7
R 20297 7
W 22421 29
R 22421 29
W 20325 28
R 20325 28
W 39669 10
R 39669 10
W 7918 27
R 7918 27
W 48981 17
R 48981 17
W 12609 27
R 12609 27
W 56124 26
R 56124 26
W 18745 12
R 18745 12
W 47972 17
R 47972 17
W 53539 4
R 53539 4
W 7567 13
R 7567 13
W 56926 6
R 56926 6
W 43749 26
R 43749 26
W 979 8
R 979 8
W 2796 4
R 2796 4
W 44067 7
R 44067 7
W 22040 8
R 22040 8
W 29607 30
R 29607 30
W 9425 7
R 9425 7
W 55613 2
R 55613 2
W 2100 17
R 2100 17
W 43514 30
R 43514 30
W 26747 12
R 26747 12
W 53346 1
R 53346 1
W 54520 30
R 54520 30
W 56202 26
R 56202 26
W 35357 9
R 35357 9
W 51973 19
R 51973 19
W 28031 12
R 28031 12
W 38840 22
R 38840 22
W 500 5
R 500 5
W 39662 13
R 39662 13
W 16228 26
R 16228 26
W 10522 27
R 10522 27
W 41258 6
R 41258 6
W 10332 22
R 10332 22
W 11477 25
R 11477 25
W 27856 28
R 27856 28
W 1418 27
R 1418 27
W 47408 31
R 47408 31
W 7864 26
R 7864 26
W 44298 2
R 44298 2
W 28323 21
R 28323 21
W 56791 2
R 56791 2
W 26344 11
R 26344 11
W 13455 14
R 13455 14
W 47467 15
R 47467 15
W 33001 26
R 33001 26
W 48658 7
R 48658 7
W 23812 7
R 23812 7
W 44122 16
R 44122 16
W 2203 29
R 2203 29
W 22455 12
R 22455 12
W 28287 13
R 28287 13
W 45726 16
R 45726 16
W 6083 29
R 6083 29
W 40043 4
R 40043 4
W 23083 8
R 23083 8
W 23773 14
R 23773 14
W 1841 22
R 1841 22
W 52626 29
R 52626 29
W 52385 5
R 52385 5
W 52029 28
R 52029 28
W 40908 16
R 40908 16
W 6029 15
R 6029 15
W 2188 10
R 2188 10
W 25137 15
R 25137 15
W 40214 7
R 40214 7
W 26259 26
R 26259 26
W 55081 1
R 55081 1
W 4934 28
R 4934 28
W 43655 15
R 43655 15
W 37818 23
R 37818 23
W 55999 21
R 55999 21
W 23732 29
R 23732 29
W 37980 23
R 37980 23
W 56753 10
R 56753 10
W 45379 5
R 45379 5
W 52872 21
R 52872 21
W 12862 5
R 12862 5
W 19936 7
R 19936 7
W 43517 31
R 43517 31
W 19442 15
R 19442 15
W 18937 15
R 18937 15
W 12969 24
R 12969 24
W 43958 14
R 43958 14
W 12302 10
R 12302 10
W 54688 18
R 54688 18
W 31471 17
R 31471 17
W 46175 1
R 46175 1
W 37457 13
R 37457 13
W 8682 4
R 8682 4
W 51641 17
R 51641 17
W 6385 25
R 6385 25
W 17469 24
R 17469 24
W 40534 5
R 40534 5
W 34298 6
R 34298 6
W 8750 20
R 8750 20
W 36711 9
R 36711 9
W 25713 25
R 25713 25
W 36169 15
R 36169 15
W 2048 16
R 2048 16
W 34404 31
R 34404 31
W 24864 20
R 24864 20
W 36352 5
R 36352 5
W 55543 25
R 55543 25
W 32315 11
R 32315 11
W 45140 5
R 45140 5
W 52750 3
R 52750 3
W 8245 27
R 8245 27
W 5237 22
R 5237 22
W 33896 23
R 33896 23
W 9951 1
R 9951 1
W 27740 15
R 27740 15
W 4797 10
R 4797 10
W 22614 7
R 22614 7
W 245 13
R 245 13
W 23902 13
R 23902 13
W 56823 23
R 56823 23
W 43181 24
R 43181 24
W 54269 19
R 54269 19
W 52297 7
R 52297 7
W 40069 13
R 40069 13
W 47660 19
R 47660 19
W 17890 4
R 17890 4
W 23775 6
R 23775 6
W 39149 10
R 39149 10
W 5320 20
R 5320 20
W 26590 3
R 26590 3
W 13842 19
R 13842 19
W 20978 6
R 20978 6
W 6818 3
R 6818 3
W 36543 12
R 36543 12
W 47682 27
R 47682 27
W 5758 11
R 5758 11
W 14509 26
R 14509 26
W 1172 5
R 1172 5
W 23732 23
R 23732 23
W 33171 10
R 33171 10
W 2989 28
R 2989 28
W 53570 20
R 53570 20
W 16846 5
R 16846 5
W 18901 27
R 18901 27
W 2555 7
R 2555 7
W 38842 22
R 38842 22
W 11343 8
R 11343 8
W 36470 15
R 36470 15
W 15509 11
R 15509 11
W 32498 20
R 32498 20
W 51691 25
R 51691 25
W 22982 22
R 22982 22
W 32749 26
R 32749 26
W 1935 17
R 1935 17
W 57204 8
R 57204 8
W 54146 23
R 54146 23
W 28824 6
R 28824 6
W 21422 3
R 21422 3
W 12020 6
R 12020 6
W 51452 30
R 51452 30
W 20279 25
R 20279 25
W 22781 2
R 22781 2
W 19044 12
R 19044 12
W 41592 8
R 41592 8
W 17576 7
R 17576 7
W 24016 25
R 24016 25
W 46812 25
R 46812 25
W 4396 14
R 4396 14
W 13809 7
R 13809 7
W 13162 4
R 13162 4
W 33245 21
R 33245 21
W 8326 16
R 8326 16
W 2994 2
R 2994 2
W 34012 31
R 34012 31
W 4536 14
R 4536 14
W 21398 15
R 21398 15
W 44688 16
R 44688 16
W 48246 7
R 48246 7
W 37895 26
R 37895 26
W 32749 16
R 32749 16
W 32857 9
R 32857 9
W 51011 27
R 51011 27
W 38227 20
R 38227 20
W 44542 19
R 44542 19
W 45354 6
R 45354 6
W 169 7
R 169 7
W 10326 13
R 10326 13
W 9598 18
R 9598 18
W 30053 6
R 30053 6
W 3758 16
R 3758 16
W 55347 13
R 55347 13
W 2061 25
R 2061 25
W 3801 12
R 3801 12
W 40887 17
R 40887 17
W 9073 11
R 9073 11
W 31632 5
R 31632 5
W 7521 6
R 7521 6
W 6912 17
R 6912 17
W 6979 7
R 6979 7
W 32249 18
R 32249 18
W 35432 22
R 35432 22
W 57206 2
R 57206 2
W 32723 14
R 32723 14
W 34502 12
R 34502 12
W 36686 31
R 36686 31
W 31829 5
R 31829 5
W 55225 22
R 55225 22
W 11845 2
R 11845 2
W 10469 25
R 10469 25
W 26995 8
R 26995 8
W 3489 17
R 3489 17
W 53282 19
R 53282 19
W 10199 7
R 10199 7
W 48568 14
R 48568 14
W 29729 3
R 29729 3
W 53129 20
R 53129 20
W 47700 23
R 47700 23
W 45383 20
R 45383 20
W 54259 4
R 54259 4
W 12127 19
R 12127 19
W 52610 23
R 52610 23
W 2755 11
R 2755 11
W 12311 17
R 12311 17
W 35790 13
R 35790 13
W 1798 31
R 1798 31
W 25940 7
R 25940 7
W 47684 27
R 47684 27
W 57258 5
R 57258 5
W 16536 24
R 16536 24
W 9527 13
R 9527 13
W 6420 17
R 6420 17
W 45891 13
R 45891 13
W 50111 18
R 50111 18
W 3472 6
R 3472 6
W 40088 28
R 40088 28
W 6899 22
R 6899 22
W 51364 12
R 51364 12
W 12118 30
R 12118 30
W 16064 12
R 16064 12
W 12729 31
R 12729 31
W 45157 28
R 45157 28
W 6765 24
R 6765 24
W 3203 29
R 3203 29
W 27845 22
R 27845 22
W 55162 10
R 55162 10
W 49621 12
R 49621 12
W 34492 31
R 34492 31
W 41975 29
R 41975 29
W 55716 24
R 55716 24
W 557 4
R 557 4
W 44662 25
R 44662 25
W 8279 8
R 8279 8
W 8920 25
R 8920 25
W 28631 28
R 28631 28
W 51921 14
R 51921 14
W 34654 13
R 34654 13
W 14493 1
R 14493 1
W 1503 28
R 1503 28
W 39907 29
R 39907 29
W 12859 17
R 12859 17
W 1185 17
R 1185 17
W 25580 31
R 25580 31
W 35114 17
R 35114 17
W 38361 28
R 38361 28
W 39274 27
R 39274 27
W 6410 29
R 6410 29
W 38184 21
R 38184 21
W 57084 20
R 57084 20
W 18702 4
R 18702 4
W 6552 18
R 6552 18
W 53347 9
R 53347 9
W 36629 22
R 36629 22
W 8897 31
R 8897 31
W 11808 3
R 11808 3
W 1946 31
R 1946 31
W 20995 30
R 20995 30
W 21612 11
R 21612 11
W 22425 27
R 22425 27
W 40403 22
R 40403 22
W 24676 3
R 24676 3
W 25978 19
R 25978 19
W 40734 5
R 40734 5
W 37584 29
R 37584 29
W 37538 20
R 37538 20
W 52461 6
R 52461 6
W 53182 15
R 53182 15
W 11568 1
R 11568 1
W 50768 18
R 50768 18
W 5065 18
R 5065 18
W 3734 23
R 3734 23
W 21708 3
R 21708 3
W 1950 29
R 1950 29
W 5769 17
R 5769 17
W 34511 6
R 34511 6
W 11435 12
R 11435 12
W 2969 23
R 2969 23
W 24738 4
R 24738 4
W 36039 3
R 36039 3
W 18642 15
R 18642 15
W 44882 2
R 44882 2
W 52131 25
R 52131 25
W 54032 29
R 54032 29
W 7652 17
R 7652 17
W 18628 20
R 18628 20
W 52689 29
R 52689 29
W 11536 18
R 11536 18
W 30708 30
R 30708 30
W 3030 9
R 3030 9
W 21479 5
R 21479 5
W 17113 19
R 17113 19
W 31192 18
R 31192 18
W 4791 11
R 4791 11
W 55595 1
R 55595 1
W 44526 19
R 44526 19
W 48871 1
R 48871 1
W 22461 30
R 22461 30
W 56400 1
R 56400 1
W 41821 15
R 41821 15
W 9263 4
R 9263 4
W 11234 17
R 11234 17
W 9084 10
R 9084 10
W 13470 30
R 13470 30
W 28066 17
R 28066 17
W 10734 16
R 10734 16
W 37657 17
R 37657 17
W 16923 3
R 16923 3
W 39739 10
R 39739 10
W 42860 17
R 42860 17
W 54352 23
R 54352 23
W 38499 20
R 38499 20
W 53914 20
R 53914 20
W 24001 13
R 24001 13
W 14575 7
R 14575 7
W 51488 3
R 51488 3
W 52543 25
R 52543 25
W 12062 11
R 12062 11
W 11765 20
R 11765 20
W 35885 6
R 35885 6
W 25648 11
R 25648 11
W 15648 21
R 15648 21
W 8931 21
R 8931 21
W 50235 25
R 50235 25
W 46093 1
R 46093 1
W 12932 2
R 12932 2
W 258 10
R 258 10
W 15252 11
R 15252 11
W 55049 3
R 55049 3
W 33415 15
R 33415 15
W 31347 18
R 31347 18
W 27926 17
R 27926 17
W 16554 31
R 16554 31
W 22639 10
R 22639 10
W 28664 31
R 28664 31
W 2615 18
R 2615 18
W 47799 1
R 47799 1
W 7019 4
R 7019 4
W 50835 27
R 50835 27
W 39865 16
R 39865 16
W 27469 3
R 27469 3
W 766 15
R 766 15
W 46886 3
R 46886 3
W 16364 7
R 16364 7
W 47080 17
R 47080 17
W 40487 10
R 40487 10
W 11803 31
R 11803 31
W 47630 11
R 47630 11
W 34673 19
R 34673 19
W 56676 12
R 56676 12
W 5913 2
R 5913 2
W 43908 26
R 43908 26
W 20211 2
R 20211 2
W 44908 22
R 44908 22
W 42645 21
R 42645 21
W 28710 19
R 28710 19
W 14691 19
R 14691 19
W 32306 30
R 32306 30
W 37303 28
R 37303 28
W 24248 23
R 24248 23
W 32913 19
R 32913 19
W 39930 12
R 39930 12
W 2076 23
R 2076 23
W 15729 15
R 15729 15
W 26758 9
R 26758 9
W 55024 24
R 55024 24
W 8817 20
R 8817 20
W 29041 10
R 29041 10
W 18787 11
R 18787 11
W 18154 15
R 18154 15
W 27650 31
R 27650 31
W 475 19
R 475 19
W 10805 5
R 10805 5
W 30191 4
R 30191 4
W 15915 18
R 15915 18
W 1419 7
R 1419 7
W 45447 23
R 45447 23
W 28009 21
R 28009 21
W 6031 7
R 6031 7
W 18738 19
R 18738 19
W 42416 25
R 42416 25
W 57269 23
R 57269 23
W 41623 26
R 41623 26
W 6534 1
R 6534 1
W 29187 28
R 29187 28
W 56307 3
R 56307 3
W 55170 16
R 55170 16
W 33644 11
R 33644 11
W 15835 2
R 15835 2
W 40356 14
R 40356 14
W 52739 7
R 52739 7
W 6850 20
R 6850 20
W 17589 7
R 17589 7
W 22831 7
R 22831 7
W 4870 6
R 4870 6
W 40026 26
R 40026 26
W 49795 5
R 49795 5
W 32984 10
R 32984 10
W 52534 16
R 52534 16
W 28949 2
R 28949 2
W 47824 22
R 47824 22
W 15679 5
R 15679 5
W 10966 20
R 10966 20
W 29705 23
R 29705 23
W 47623 27
R 47623 27
W 50359 3
R 50359 3
W 46301 22
R 46301 22
W 18325 25
R 18325 25
W 26533 26
R 26533 26
W 13783 7
R 13783 7
W 8997 26
R 8997 26
W 13153 28
R 13153 28
W 28224 16
R 28224 16
W 19139 25
R 19139 25
W 11929 12
R 11929 12
W 39600 9
R 39600 9
W 10464 24
R 10464 24
W 23483 5
R 23483 5
W 39067 23
R 39067 23
W 40039 30
R 40039 30
W 370 29
R 370 29
W 55980 17
R 55980 17
W 16536 21
R 16536 21
W 36833 15
R 36833 15
W 41734 8
R 41734 8
W 744 13
R 744 13
W 38889 19
R 38889 19
W 35797 26
R 35797 26
W 43651 12
R 43651 12
W 16800 31
R 16800 31
W 37489 10
R 37489 10
W 41605 23
R 41605 23
W 46144 18
R 46144 18
W 53000 13
R 53000 13
W 52741 19
R 52741 19
W 40829 24
R 40829 24
W 44174 9
R 44174 9
W 42438 3
R 42438 3
W 40043 14
R 40043 14
W 30051 11
R 30051 11
W 7008 2
R 7008 2
W 1438 19
R 1438 19
W 20116 31
R 20116 31
W 39283 21
R 39283 21
W 26635 30
R 26635 30
W 45620 30
R 45620 30
W 46948 24
R 46948 24
W 46542 6
R 46542 6
W 21242 14
R 21242 14
W 39039 15
R 39039 15
W 4165 24
R 4165 24
W 12406 13
R 12406 13
W 45606 13
R 45606 13
W 43513 28
R 43513 28
W 3044 27
R 3044 27
W 36355 17
R 36355 17
W 30631 27
R 30631 27
W 39565 11
R 39565 11
W 1300 15
R 1300 15
W 40788 2
R 40788 2
W 12053 15
R 12053 15
W 26524 14
R 26524 14
W 50754 17
R 50754 17
W 21022 15
R 21022 15
W 49728 2
R 49728 2
W 31292 27
R 31292 27
W 8858 3
R 8858 3
W 44889 27
R 44889 27
W 24815 21
R 24815 21
W 17233 10
R 17233 10
W 39087 28
R 39087 28
W 29719 7
R 29719 7
W 17654 26
R 17654 26
W 46739 16
R 46739 16
W 25254 14
R 25254 14
W 38699 15
R 38699 15
W 51055 12
R 51055 12
W 22580 31
R 22580 31
W 15410 14
R 15410 14
W 50927 23
R 50927 23
W 29936 9
R 29936 9
W 53496 10
R 53496 10
W 52190 22
R 52190 22
W 27722 26
R 27722 26
W 6565 23
R 6565 23
W 39329 22
R 39329 22
W 24816 26
R 24816 26
W 33451 9
R 33451 9
W 15454 11
R 15454 11
W 53234 24
R 53234 24
W 44837 7
R 44837 7
W 12479 15
R 12479 15
W 34276 1
R 34276 1
W 9287 11
R 9287 11
W 4934 25
R 4934 25
W 49289 28
R 49289 28
W 11361 16
R 11361 16
W 57280 11
R 57280 11
W 20947 6
R 20947 6
W 17678 14
R 17678 14
W 7077 4
R 7077 4
W 48589 14
R 48589 14
W 3176 28
R 3176 28
W 637 13
R 637 13
W 39351 12
R 39351 12
W 42954 25
R 42954 25
W 14732 7
R 14732 7
W 49009 31
R 49009 31
W 16765 19
R 16765 19
W 41351 20
R 41351 20
W 44782 11
R 44782 11
W 40185 14
R 40185 14
W 21393 19
R 21393 19
W 54160 30
R 54160 30
W 2243 26
R 2243 26
W 53469 18
R 53469 18
W 55117 14
R 55117 14
W 24830 25
R 24830 25
W 3875 19
R 3875 19
W 3196 14
R 3196 14
W 13802 7
R 13802 7
W 4534 14
R 4534 14
W 27856 13
R 27856 13
W 20199 20
R 20199 20
W 38112 22
R 38112 22
W 784 12
R 784 12
W 29310 21
R 29310 21
W 16159 24
R 16159 24
W 15554 13
R 15554 13
W 11124 29
R 11124 29
W 2893 1
R 2893 1
W 18926 31
R 18926 31
W 43772 11
R 43772 11
W 34384 20
R 34384 20
W 3688 26
R 3688 26
W 25337 26
R 25337 26
W 10004 5
R 10004 5
W 37833 13
R 37833 13
W 9688 18
R 9688 18
W 25138 16
R 25138 16
W 45854 7
R 45854 7
W 7815 6
R 7815 6
W 50508 14
R 50508 14
W 52139 2
R 52139 2
W 20565 18
R 20565 18
W 10132 28
R 10132 28
W 4978 11
R 4978 11
W 7741 25
R 7741 25
W 7278 18
R 7278 18
W 22670 15
R 22670 15
W 14170 11
R 14170 11
W 20265 12
R 20265 12
W 12343 14
R 12343 14
W 4691 29
R 4691 29
W 50594 24
R 50594 24
W 53448 5
R 53448 5
W 31175 5
R 31175 5
W 40540 22
R 40540 22
W 19702 5
R 19702 5
W 16674 11
R 16674 11
W 24871 21
R 24871 21
W 47342 2
R 47342 2
W 47672 2
R 47672 2
W 4872 14
R 4872 14
W 31672 7
R 31672 7
W 381 29
R 381 29
W 10013 5
R 10013 5
W 53633 28
R 53633 28
W 13208 29
R 13208 29
W 28004 13
R 28004 13
W 14425 5
R 14425 5
W 29178 16
R 29178 16
W 28028 26
R 28028 26
W 53556 26
R 53556 26
W 31325 29
R 31325 29
W 6077 17
R 6077 17
W 31500 8
R 31500 8
W 20510 11
R 20510 11
W 34774 11
R 34774 11
W 3051 26
R 3051 26
W 44732 22
R 44732 22
W 30370 30
R 30370 30
W 15886 27
R 15886 27
W 3375 8
R 3375 8
W 19448 19
R 19448 19
W 27360 12
R 27360 12
W 55488 3
R 55488 3
W 5746 31
R 5746 31
W 3376 2
R 3376 2
W 174 22
R 174 22
W 6653 25
R 6653 25
W 25362 13
R 25362 13
W 43287 23
R 43287 23
W 43598 8
R 43598 8
W 54871 14
R 54871 14
W 13436 17
R 13436 17
W 41889 22
R 41889 22
W 23278 25
R 23278 25
W 4930 9
R 4930 9
W 21333 9
R 21333 9
W 688 16
R 688 16
W 50059 19
R 50059 19
W 31503 14
R 31503 14
W 8620 12
R 8620 12
W 49573 9
R 49573 9
W 53197 9
R 53197 9
W 56006 7
R 56006 7
W 28844 2
R 28844 2
W 50704 11
R 50704 11
W 46282 31
R 46282 31
W 53556 7
R 53556 7
W 24956 24
R 24956 24
W 29797 30
R 29797 30
W 30341 10
R 30341 10
W 9351 14
R 9351 14
W 1761 31
R 1761 31
W 26640 5
R 26640 5
W 680 14
R 680 14
W 25707 1
R 25707 1
W 27487 30
R 27487 30
W 9903 25
R 9903 25
W 434 8
R 434 8
W 28172 26
R 28172 26
W 42322 29
R 42322 29
W 36186 13
R 36186 13
W 4228 22
R 4228 22
W 25443 10
R 25443 10
W 4964 14
R 4964 14
W 11882 29
R 11882 29
W 32624 10
R 32624 10
W 21445 8
R 21445 8
W 23081 4
R 23081 4
W 4287 24
R 4287 24
W 40693 25
R 40693 25
W 24869 7
R 24869 7
W 39738 29
R 39738 29
W 17793 25
R 17793 25
W 35145 29
R 35145 29
W 3915 7
R 3915 7
W 51114 17
R 51114 17
W 43192 19
R 43192 19
W 56116 5
R 56116 5
W 18991 19
R 18991 19
W 50148 1
R 50148 1
W 30850 6
R 30850 6
W 43915 22
R 43915 22
W 35239 16
R 35239 16
W 26653 20
R 26653 20
W 25221 7
R 25221 7
W 3984 27
R 3984 27
W 12647 29
R 12647 29
W 19327 11
R 19327 11
W 18358 23
R 18358 23
W 51830 6
R 51830 6
W 868 30
R 868 30
W 45991 16
R 45991 16
W 43599 27
R 43599 27
W 38967 13
R 38967 13
W 32116 3
R 32116 3
W 27927 30
R 27927 30
W 40817 19
R 40817 19
W 41534 18
R 41534 18
W 15958 11
R 15958 11
W 50046 6
R 50046 6
W 20845 12
R 20845 12
W 25734 28
R 25734 28
W 24024 22
R 24024 22
W 39358 30
R 39358 30
W 25805 10
R 25805 10
W 56464 9
R 56464 9
W 22101 24
R 22101 24
W 5197 24
R 5197 24
W 16147 11
R 16147 11
W 54562 2
R 54562 2
W 2209 13
R 2209 13
W 45694 18
R 45694 18
W 31452 17
R 31452 17
W 45354 28
R 45354 28
W 40727 5
R 40727 5
W 14862 10
R 14862 10
W 26550 31
R 26550 31
W 13145 22
R 13145 22
W 20121 8
R 20121 8
W 27420 29
R 27420 29
W 20812 22
R 20812 22
W 7064 22
R 7064 22
W 47077 28
R 47077 28
W 34885 30
R 34885 30
W 40042 14
R 40042 14
W 45952 17
R 45952 17
W 40864 28
R 40864 28
W 19741 20
R 19741 20
W 6842 2
R 6842 2
W 45999 6
R 45999 6
W 37615 17
R 37615 17
W 27221 19
R 27221 19
W 35921 17
R 35921 17
W 41011 1
R 41011 1
W 27334 27
R 27334 27
W 36432 6
R 36432 6
W 13053 31
R 13053 31
W 25523 26
R 25523 26
W 47566 7
R 47566 7
W 8666 30
R 8666 30
W 18783 20
R 18783 20
W 6980 13
R 6980 13
W 23384 14
R 23384 14
W 9084 26
R 9084 26
W 18089 15
R 18089 15
W 4067 19
R 4067 19
W 50408 13
R 50408 13
W 37950 11
R 37950 11
W 6120 11
R 6120 11
W 19491 17
R 19491 17
W 16321 5
R 16321 5
W 16065 20
R 16065 20
W 25692 16
R 25692 16
W 23968 27
R 23968 27
W 28269 3
R 28269 3
W 37987 9
R 37987 9
W 13525 4
R 13525 4
W 41164 7
R 41164 7
W 55304 18
R 55304 18
W 1600 30
R 1600 30
W 31604 30
R 31604 30
W 55370 30
R 55370 30
W 20573 22
R 20573 22
W 37270 4
R 37270 4
W 49401 20
R 49401 20
W 51955 5
R 51955 5
W 38958 7
R 38958 7
W 21369 23
R 21369 23
W 44073 3
R 44073 3
W 15029 10
R 15029 10
W 12437 7
R 12437 7
W 53858 26
R 53858 26
W 24255 4
R 24255 4
W 54680 24
R 54680 24
W 14200 29
R 14200 29
W 21881 19
R 21881 19
W 45565 9
R 45565 9
W 4937 2
R 4937 2
W 47691 26
R 47691 26
W 19103 28
R 19103 28
W 33434 20
R 33434 20
W 39935 31
R 39935 31
W 16199 23
R 16199 23
W 5970 14
R 5970 14
W 41107 5
R 41107 5
W 9734 27
R 9734 27
W 287 5
R 287 5
W 13970 18
R 13970 18
W 35735 18
R 35735 18
W 38566 24
R 38566 24
W 2052 2
R 2052 2
W 30204 8
R 30204 8
W 14818 26
R 14818 26
W 31835 4
R 31835 4
W 11813 9
R 11813 9
W 44913 27
R 44913 27
W 56460 30
R 56460 30
W 43911 19
R 43911 19
W 15082 15
R 15082 15
W 10051 10
R 10051 10
W 5345 19
R 5345 19
W 44197 26
R 44197 26
W 17842 21
R 17842 21
W 21983 27
R 21983 27
W 3938 20
R 3938 20
W 37977 17
R 37977 17
W 55460 27
R 55460 27
W 37223 26
R 37223 26
W 45978 30
R 45978 30
W 18099 6
R 18099 6
W 54460 27
R 54460 27
W 29311 29
R 29311 29
W 8598 27
R 8598 27
W 52508 8
R 52508 8
W 225 13
R 225 13
W 6141 24
R 6141 24
W 16809 17
R 16809 17
W 11203 19
R 11203 19
W 42969 28
R 42969 28
W 30885 9
R 30885 9
W 28200 1
R 28200 1
W 44706 2
R 44706 2
W 22355 16
R 22355 16
W 31059 14
R 31059 14
W 19916 21
R 19916 21
W 44205 15
R 44205 15
W 38444 18
R 38444 18
W 54226 5
R 54226 5
W 23860 25
R 23860 25
W 54338 18
R 54338 18
W 46414 26
R 46414 26
W 21463 2
R 21463 2
W 45281 26
R 45281 26
W 40531 12
R 40531 12
W 318 3
R 318 3
W 12278 2
R 12278 2
W 17398 10
R 17398 10
W 46643 25
R 46643 25
W 56995 26
R 56995 26
W 34359 3
R 34359 3
W 53134 22
R 53134 22
W 20216 28
R 20216 28
W 29201 26
R 29201 26
W 7548 16
R 7548 16
W 953 10
R 953 10
W 11610 21
R 11610 21
W 56829 10
R 56829 10
W 53247 10
R 53247 10
W 205 11
R 205 11
W 10136 21
R 10136 21
W 42315 4
R 42315 4
W 20849 12
R 20849 12
W 5672 19
R 5672 19
W 33931 4
R 33931 4
W 14124 10
R 14124 10
W 16698 23
R 16698 23
W 15783 17
R 15783 17
W 35956 6
R 35956 6
W 45821 15
R 45821 15
W 24318 28
R 24318 28
W 39854 21
R 39854 21
W 28606 23
R 28606 23
W 52618 6
R 52618 6
W 18569 29
R 18569 29
W 52752 15
R 52752 15
W 45154 25
R 45154 25
W 34736 3
R 34736 3
W 31902 28
R 31902 28
W 2425 5
R 2425 5
W 29347 31
R 29347 31
W 52204 2
R 52204 2
W 26463 13
R 26463 13
W 17425 7
R 17425 7
W 39243 26
R 39243 26
W 40387 4
R 40387 4
W 36293 9
R 36293 9
W 25762 5
R 25762 5
W 54044 19
R 54044 19
W 23872 27
R 23872 27
W 8324 20
R 8324 20
W 27590 30
R 27590 30
W 48813 26
R 48813 26
W 45754 13
R 45754 13
W 37199 19
R 37199 19
W 15476 18
R 15476 18
W 56536 29
R 56536 29
W 38865 6
R 38865 6
W 12787 3
R 12787 3
W 22538 24
R 22538 24
W 45808 28
R 45808 28
W 41864 13
R 41864 13
W 20286 18
R 20286 18
W 15928 2
R 15928 2
W 23127 23
R 23127 23
W 24063 20
R 24063 20
W 50890 3
R 50890 3
W 3009 21
R 3009 21
W 48445 15
R 48445 15
W 41154 14
R 41154 14
W 23215 16
R 23215 16
W 21119 18
R 21119 18
W 1431 16
R 1431 16
W 23487 19
R 23487 19
